id,state+AF8-code,state,constituency+AF8-code,constituency,winning+AF8-party,winning+AF8-party+AF8-alliance
220,S12,Madhya Pradesh,26,INDORE,Bharatiya Janata Party,National Democratic Alliance
207,S12,Madhya Pradesh,13,JABALPUR,Bharatiya Janata Party,National Democratic Alliance
214,S12,Madhya Pradesh,20,RAJGARH,Bharatiya Janata Party,National Democratic Alliance
117,S06,Gujarat,17,Kheda,Bharatiya Janata Party,National Democratic Alliance
57,S03,Assam,13,Dibrugarh,Bharatiya Janata Party,National Democratic Alliance
336,S20,Rajasthan,25,JHALAWAR+AC0-BARAN,Bharatiya Janata Party,National Democratic Alliance
178,S11,Kerala,4,Wayanad,Indian National Congress,National Democratic Alliance
324,S20,Rajasthan,13,Ajmer,Bharatiya Janata Party,National Democratic Alliance
526,S28,Uttarakhand,1,Tehri Garhwal,Bharatiya Janata Party,National Democratic Alliance
202,S12,Madhya Pradesh,8,KHAJURAHO,Bharatiya Janata Party,National Democratic Alliance
108,S06,Gujarat,8,Ahmedabad West,Bharatiya Janata Party,National Democratic Alliance
359,S22,Tamil Nadu,22,Dindigul,Dravida Munnetra Kazhagam,National Democratic Alliance
397,S24,Uttar Pradesh,19,Fatehpur Sikri,Bharatiya Janata Party,National Democratic Alliance
317,S20,Rajasthan,6,Jaipur Rural,Bharatiya Janata Party,National Democratic Alliance
528,S28,Uttarakhand,3,Almora,Bharatiya Janata Party,National Democratic Alliance
38,S01,Andhra Pradesh,21,Kadapa,Yuvajana Sramika Rythu Congress Party,National Democratic Alliance
455,S24,Uttar Pradesh,77,Varanasi,Bharatiya Janata Party,National Democratic Alliance
115,S06,Gujarat,15,Bhavnagar,Bharatiya Janata Party,National Democratic Alliance
110,S06,Gujarat,10,Rajkot,Bharatiya Janata Party,National Democratic Alliance
43,S02,Arunachal Pradesh,1,ARUNACHAL WEST,Bharatiya Janata Party,National Democratic Alliance
